N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;1.7707624123516401;3.5565998156220697;0.20883591342362193;0.35364264710133936
2;1.0367317984582098;2.2271292130032685;0.12226757841488459;0.22144967417017128
3;0.584426798485075;1.8087663932172209;0.06892472047042573;0.17985069123482492
4;0.3093303853305266;1.0398892845840142;0.03648106212306093;0.10339909417902485
5;0.17523142738543254;0.6953611595367132;0.020666022128831403;0.06914170103419663
6;0.103046891405235;0.36463900715863395;0.012152896143474033;0.03625707428808071
7;0.05829561940727534;0.33901375643025145;0.006875128386843462;0.0337090840811376
8;0.03183249598161959;0.18524064602319965;0.0037541842589976873;0.018418994490935894
9;0.017738283331998082;0.13893819017822537;0.0020919749461393005;0.0138150120635664
10;0.009678950922529279;0.12918878059149544;0.001141492807160069;0.012845601055113287
11;0.009356000639968332;0.05675208628006285;0.0011034054743939163;0.005643018349281076
12;0.005177415154291735;0.04342085942707874;0.0006106015213435108;0.004317457252221533
13;0.004724057615745995;0.04909905666709558;0.0005571345316393696;0.004882056253183877
14;0.002748121374277101;0.03379423661903444;0.0003241013212122383;0.0033713712572767444
15;0.0013313043247742662;0.03267267601452527;0.00015700816369815834;0.003317099687378279
16;0.0007846765929367664;0.032017503148396464;9.254129853053595e-05;0.003305947703625446
17;0.00045154393488877343;0.031866450239061164;5.3253101283170625e-05;0.003314321036217897
18;0.0003172163653994318;0.03194471207300142;3.741109985112814e-05;0.0033283674664696798
19;0.000199699156111686;0.0318036135262921;2.3551638201493916e-05;0.003313666197246773
20;9.761923814489419e-05;0.03172439393562983;1.1512782642948202e-05;0.0033054121892699658
21;7.984825389014265e-05;0.031715526614769424;9.416951094124438e-06;0.003304488289808951
22;5.20579517074935e-05;0.03170290158266354;6.139485353859145e-06;0.0033031728687768777
23;3.6036691236106005e-05;0.031694399328322465;4.250008515294141e-06;0.0033022870061440945
24;2.8823807034431438e-05;0.0316939126746441;3.3993527468135276e-06;0.0033022363009673882
25;2.5445373732932725e-05;0.03169147531270585;3.000915215308511e-06;0.003301982348571112
26;2.2390892791611237e-05;0.031691586771876445;2.6406831971865644e-06;0.00330199396166928
27;1.7791134170934172e-05;0.03169113444825869;2.098207941117867e-06;0.0033019468333930816
28;1.5969152497131628e-05;0.03169137171769255;1.8833314537723203e-06;0.003301971554851288
29;1.3970998348734655e-05;0.03169127449183023;1.6476779613382318e-06;0.003301961424742859
30;1.285757203260343e-05;0.03169087698801774;1.51636536957706e-06;0.003301920008224398
31;1.0377217234904336e-05;0.03169107617798443;1.223843258096135e-06;0.0033019407621258036
32;9.842835643045466e-06;0.03169110696336205;1.160820648696821e-06;0.0033019439697004748
33;9.461388767117167e-06;0.03169104622096186;1.1158344855608692e-06;0.003301937640858688
34;8.362045438245665e-06;0.03169092487830564;9.861827792395463e-07;0.003301924997985328
35;7.976734042873436e-06;0.031690909360456196;9.407408517151024e-07;0.0033019233811573184
36;7.474346666671491e-06;0.031690784073016336;8.814914990804435e-07;0.003301910327271034
37;6.920771369111647e-06;0.03169072724607713;8.162052686362662e-07;0.003301904406387001
38;6.1438208130466406e-06;0.03169075682100682;7.245751448381585e-07;0.0033019074878432855
39;5.297286264235876e-06;0.03169074584474385;6.247385916606071e-07;0.0033019063442099833
40;4.9206756599070106e-06;0.03169071729476921;5.803227970788905e-07;0.0033019033695453016
41;4.717678660600926e-06;0.03169051747462388;5.563822257878811e-07;0.0033018825499846393
42;4.34327885849877e-06;0.03169041189280385;5.122271634756037e-07;0.0033018715492564425
43;3.849971771251791e-06;0.0316904199326404;4.5404870009453614e-07;0.0033018723869390715
44;3.7488004119798667e-06;0.031690450692989626;4.4211699594355415e-07;0.0033018755919059966
45;3.608630031754946e-06;0.031690389219292014;4.255859191683621e-07;0.0033018691868692347
46;3.3342616850472384e-06;0.03169037812352022;3.93228125768433e-07;0.003301868030784128
47;3.2528649134901398e-06;0.03169405943666596;3.836285493265054e-07;0.0033018363100431715
48;2.990349109511343e-06;0.03169881445962057;3.5266859257022726e-07;0.0033018331750888277
49;2.6733261496471033e-06;0.03170087618414235;3.1528030211539335e-07;0.0033018291726306806
50;2.591933986582714e-06;0.03170067501549989;3.0568126917878183e-07;0.0033018351129707663
