N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;92.20596058302442;142.4893113624314;168.7752312995224
2;94.36145674653018;154.49251151833903;183.3240038377389
3;94.3765501713521;152.76569160602335;179.924920196238
4;93.43988790266306;150.14639295384237;178.04166441886886
5;96.88922504242947;146.6680131065022;173.25560779231398
6;75.88725127027463;145.01151227553507;171.95651555729856
7;82.43264597836242;144.93953690642297;169.76682427471158
8;85.99279632067282;143.640840775654;175.4434053602053
9;85.39251573270413;140.2491101972611;175.498712677652
10;79.7960594806292;138.97834270234043;174.9932532899925
11;69.11557848279779;134.79625215136875;173.3866634348148
12;85.04529984211516;134.12122661406053;169.95593501427052
13;77.7826927329328;131.50191389194316;164.20184012319757
14;9.480415950633027;122.86720378921285;149.9335652312604
15;73.350007818007;124.71319739836206;157.07367716118844
16;73.5333377829332;121.73835053255108;156.1617117370671
17;66.60035676730925;121.51660196374183;154.20184077725204
18;71.72057067108778;119.35519801697637;152.5521138702552
19;71.50852805141558;117.13994872576754;149.44433200801257
20;68.39679324574102;113.85138144592483;145.51223916820692
21;67.52713089610049;111.36423515286076;142.81907224641884
22;65.57916312799888;108.97002551633489;136.7494313822848
23;62.04547568858395;106.43532433595749;134.87817020345693
24;63.0171170664151;102.57657873584385;130.91676149255176
25;58.471941281626336;100.71925820506138;128.04359409151064
26;51.46580628426286;97.37053952396884;122.37684121581843
27;58.34045026729234;94.92235423220545;120.5515160993183
28;47.61658329832966;91.96213859763047;113.0861847550076
29;60.30709178367032;90.82213966529535;111.84120572588364
30;50.834497079287246;86.97373699697624;107.865365499521
31;51.92345962169793;85.09633584432798;101.98499540690518
32;55.10699898697514;81.90715103367918;99.043921655559
33;54.00466440053463;79.30717388980231;94.28937920867493
34;57.056751654354244;76.57845259279235;92.28610782467477
35;45.97351353809813;74.64710153017265;90.12119075907741
36;43.14443911903791;72.32115374993347;86.68290905915103
37;35.62891271515981;69.40260476100504;84.29730315847932
38;39.29991094756771;66.66581976206975;81.19705156201817
39;41.225949083979735;64.66735118965853;80.34483273044744
40;44.09785474418796;62.2294379584586;77.11109185700501
41;32.90465789697427;59.953738760847024;76.22288064261538
42;33.59523067242707;58.07672239600639;72.28329432298784
43;33.00067429059711;55.8526316163684;67.42024811903735
44;28.537581224594895;54.315477407308265;66.67648583089475
45;35.87038804266727;52.54066068732849;64.80912771571795
46;27.194718209490986;50.10544338967841;64.47223452386466
47;26.429441268006077;48.8223772594893;60.592517373100385
48;27.290102722225427;46.598744336604405;56.29279294451268
49;24.763924161334945;45.559411560320115;54.4718701303772
50;26.361867860309733;43.8161739258406;52.92458652757515
