N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;116.50507828673048;182.68007764163332;216.0088265043598
2;120.03119897230054;200.41270478654198;238.29539092148454
3;115.87168036292202;197.96166492487697;233.7467657077923
4;121.09098622579431;195.1621923970752;233.03259994604826
5;128.4605386402511;189.53714409993395;224.96207638862558
6;93.46627897386246;187.3244972211891;223.56108133677162
7;96.83796518294346;186.4491257319367;221.57559587075176
8;110.42523344627185;184.9917911363043;220.69916989464411
9;106.77634392073756;180.51746738212168;221.11648869917437
10;103.90216702880177;178.09135472265447;222.28923197384864
11;79.9754417600557;172.88741957327275;218.66149733769623
12;109.34588152483406;171.2254686243279;214.31854246136552
13;97.47992061932504;168.14243756130082;205.54411503835667
14;9.065323726012087;155.5368297933823;190.2872270812867
15;88.61239262800089;157.88685286530028;195.56873898353692
16;91.40430038873428;153.4912468468823;193.99939680861627
17;82.22793572132794;153.13390138336888;191.66875664841584
18;86.61255485633114;149.84331903996815;188.54873323164065
19;87.47387898652602;146.99009534152222;184.56409337958937
20;84.34260053993414;142.5786627400556;178.73942784639186
21;83.41966305156491;138.36802220245323;174.60450881113107
22;79.75882841808398;135.14679489589128;166.54868833637653
23;75.90467038808828;131.8824036016561;163.719265289073
24;76.35385273058169;126.4277619266465;158.02840988897188
25;73.47764514035946;123.93426231042086;154.4648542451556
26;61.68951821035133;119.09879820571534;146.49694069308597
27;70.37096261643022;115.69433616426451;145.34857160611392
28;55.66228856838445;111.62999104043652;135.2108976450577
29;68.28964246531679;109.71906272178768;133.06922025152699
30;59.06290037743999;105.01183669839251;129.01165682617915
31;61.91939014440416;102.05595448111514;121.35431520376153
32;62.28864162022111;97.86236390852002;116.63818016068834
33;60.685753957887464;94.37331602678563;111.4773032241413
34;65.96181753856983;90.83966964733631;108.39433554083801
35;53.149919286780836;87.89453124352778;105.4360868738597
36;51.22433839870921;85.04652557015487;101.79713696105429
37;40.52480843757669;81.41652361145718;97.14219327009022
38;43.53561486455979;77.80263912830087;93.51607496939175
39;47.24769322328569;75.32276854231037;92.17014270486824
40;47.88849793585508;72.21403155737397;88.13565647643895
41;36.66781129950703;69.37078376516189;87.1196132414821
42;37.97635374803928;66.91673608673278;82.51760021114009
43;36.525921577451946;64.00889978413534;76.80745669483431
44;33.36895500223343;62.14518265037343;75.34112811918388
45;40.45499431590333;59.76325175717228;72.34176269745507
46;32.11122745587778;57.07314683359708;71.95845649892762
47;30.207234856990826;55.14674993369484;69.95834593023551
48;29.289020012292355;52.420461116620494;63.411172800845684
49;27.398674872333956;51.11535536199486;61.58413960392045
50;29.38266172357705;48.930961551094406;59.47095232360811
