N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.040155727933453116;0.041682457609377555;0.4704828201106095;0.5306683877260135
2;0.028385124681526337;0.03805871980258896;0.3325730648311866;0.42297035109448927
3;0.019361821516001174;0.026383820741843596;0.22685193017600885;0.3338325662241284
4;0.008406011168230488;0.01239105116863266;0.09848866012003263;0.14527323854909907
5;0.010542364586027817;0.01220430348940709;0.12351915097363951;0.13741820691437817
6;0.003996093530880748;0.005519688385543444;0.046820054089176714;0.07027234727271359
7;0.0026717651787679405;0.0032081683888852096;0.031303619201306136;0.03806604050247661
8;0.001160157108917754;0.0015559412320333016;0.013592929737933364;0.017292147833904523
9;0.0006700017522046226;0.0007982062862505609;0.007850046060145572;0.009502005604598667
10;0.0003425421009640657;0.00041201449930635027;0.004013379459470011;0.004878058560047497
11;0.0002049976863357782;0.00031276420926465323;0.0024018463752728553;0.003784337891375555
12;0.00011467390439570063;0.0001391981965466145;0.0013435717570005007;0.0015469965981629301
13;8.3506140851194e-05;0.00011697483364935839;0.0009783960263236367;0.0014280293127726892
14;6.214357347969978e-05;0.0001086796436745324;0.0007281024453331546;0.0013193328322383161
15;2.3165220240045994e-05;2.9175990942529816e-05;0.0002714142840364394;0.00034227355766891184
16;1.5157543202343094e-05;2.143908949797674e-05;0.0001775926882362836;0.0002593215434092703
17;6.3040495109334645e-06;9.295870967249916e-06;7.386111881562978e-05;0.00011459821258033002
18;4.561535711675114e-06;6.443199076857312e-06;5.344503252987379e-05;7.842446477573237e-05
19;2.8775580520050234e-06;4.446782207319668e-06;3.3714782348932473e-05;4.988143003712116e-05
20;2.4715101760245496e-06;4.060605682123065e-06;2.895734026973984e-05;4.554952520673284e-05
21;7.415313039360469e-07;1.4941510665805686e-06;8.688118906829379e-06;1.7517537239025048e-05
22;6.111390928092544e-07;1.3834474643137547e-06;7.160384300372757e-06;1.6219640046044957e-05
23;3.806337769954592e-07;1.4235590838781279e-06;4.459678906256026e-06;1.6689911630460163e-05
24;3.5011896727709547e-07;1.4117109843231344e-06;4.102153480363431e-06;1.6551003637949565e-05
25;3.326777855741491e-07;1.4053175760574597e-06;3.897804642079091e-06;1.6476046848182278e-05
26;2.721993907054502e-07;1.3875366175189102e-06;3.1892121887000016e-06;1.6267581579635215e-05
27;2.1992565130252762e-07;1.381752337699293e-06;2.5767492202096433e-06;1.6199766256668592e-05
28;1.9292083979660755e-07;1.3814662253803032e-06;2.2603485339883303e-06;1.6196411854751308e-05
29;1.6267998281359385e-07;1.38221166119256e-06;1.9060328632698623e-06;1.620515139916056e-05
30;1.5794616190836735e-07;1.3780043001703143e-06;1.8505692588475911e-06;1.6155823988409595e-05
31;1.6305643669419725e-07;1.3784922147601286e-06;1.9104435686038972e-06;1.6161544335024944e-05
32;1.6539087401833318e-07;1.3785149259225947e-06;1.937794900833521e-06;1.6161810602367747e-05
33;1.4885088661640125e-07;1.3784194111756234e-06;1.7440048659386183e-06;1.616069078043383e-05
34;1.5279424801434806e-07;1.3785966115565673e-06;1.790207086311651e-06;1.6162768290761518e-05
35;1.1902749852489044e-07;1.378338748697159e-06;1.3945804511253546e-06;1.615974508759065e-05
36;1.1812346143446436e-07;1.378728900564848e-06;1.3839883403188135e-06;1.6164319256845674e-05
37;1.1651836854925408e-07;1.3776238397102339e-06;1.3651823401281436e-06;1.615136344193173e-05
38;1.1222055612582431e-07;1.3756726583762007e-06;1.3148272099053065e-06;1.612848764814922e-05
39;1.081718881745221e-07;1.374699982902156e-06;1.2673911699317133e-06;1.6117083929195243e-05
40;9.26831585061626e-08;1.3740371757862545e-06;1.08591815003335e-06;1.6109313129712654e-05
41;9.572876885598397e-08;1.3740168356349106e-06;1.1216019097379862e-06;1.6109074660279018e-05
42;9.227348669789149e-08;1.3739522879822566e-06;1.081118248310874e-06;1.6108317898841473e-05
43;9.395369665561981e-08;1.3743602752994388e-06;1.1008043543777327e-06;1.611310117222101e-05
44;9.033406361112627e-08;1.3744626736842198e-06;1.0583950830189616e-06;1.611430169843201e-05
45;9.016905704541051e-08;1.374223885783671e-06;1.0564617908494496e-06;1.6111502131484828e-05
46;7.049798105634259e-08;1.3738895836913247e-06;8.259864942420954e-07;1.610758274911263e-05
47;6.996774622286586e-08;1.3736845138454711e-06;8.197740211376777e-07;1.6105178495124066e-05
48;7.038059407164642e-08;1.3736199548669673e-06;8.246111347990874e-07;1.610442160090142e-05
49;6.774630195336389e-08;1.3733821960034689e-06;7.937465670627349e-07;1.610163409846047e-05
50;6.935813702870602e-08;1.3734550820492374e-06;8.126315618275393e-07;1.6102488619833518e-05
