N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;74.56118471132231;145.41236044520306;197.376335634055
2;79.09314521084468;157.29733447384064;199.52573903591514
3;74.67418606994367;158.11213145413817;193.8787823516245
4;79.89720400914145;154.86607563883317;190.76315667015942
5;65.00400087079991;150.38475039164692;193.51658142611524
6;76.43641061367609;148.6299512495651;176.3738190246579
7;81.0191009912748;148.91155998554063;193.76359533820983
8;78.1546233545428;144.86554518373353;175.65096949251125
9;80.54562676560599;141.1454322114318;199.4295089062565
10;84.26010852146807;139.44744672253373;193.39060446029512
11;62.822291397526605;139.22622910267847;193.87826711831363
12;66.06988745184226;136.64924960270505;195.4755695384331
13;64.81201507648196;133.4716023059451;190.06351166523459
14;84.38742636538575;130.75770433936165;169.65069666752137
15;88.30111291032713;128.9093921545088;178.26648073193212
16;76.38183925610925;126.63433849194307;180.49114208409304
17;53.427739529335625;124.43016685189848;174.4992978919519
18;60.90849010118792;120.59475974655841;172.37721018491743
19;53.929866511348365;118.97292623236562;166.27886048813363
20;61.63726042867615;114.52440521507188;163.20028971899032
21;58.577634439762534;112.68760948182045;162.77307042382756
22;57.426899371469894;109.9394337297692;155.43106367656998
23;61.227125721115264;107.039781665215;150.9688708725927
24;60.868458376064545;103.48415007705623;149.4891815857598
25;54.420216604418485;102.24785564223171;146.00515518586727
26;64.20704460591602;99.72933607789658;139.91176947710014
27;49.14853425670427;94.63342291900767;133.8615114255623
28;49.29033031816104;93.2426409813372;130.7545260790771
29;51.23656231054477;91.38168718226397;129.37487459771216
30;52.66693648509948;89.02040261365767;124.9992596476349
31;44.73723935469407;85.6084686793169;122.70408699491735
32;48.51659749707648;82.92603096985593;116.44603114659178
33;8.71677425194728;79.36283774299633;113.80790771983024
34;40.722533720286336;76.88918350680437;104.39217829693042
35;46.708786282892184;74.61790574520738;105.04185755046785
36;43.44188920508719;72.41829527685175;103.38648184668605
37;40.47586496924509;70.46400657660834;99.71987703476836
38;37.73725823014265;67.73165407332053;96.10413435367542
39;44.25114224910612;66.42129785189327;94.58496901611794
40;31.33724988836455;62.9354754648507;89.55705686128321
41;27.30722861556805;60.43057310667681;87.76223735076256
42;25.371004636235384;57.24963366391384;84.28105542864063
43;23.927710736861066;56.2227011283074;79.67946064986134
44;24.7516643220261;54.15869667172561;79.16450483619086
45;24.12266749800711;52.98517429951702;75.70493892580932
46;21.419837308649672;49.82890966115966;73.82799505430131
47;23.00251030213073;48.14985712979508;70.06231805150841
48;21.852550041080814;46.11682523128363;68.4330082783849
49;20.258883359323786;45.086056860348315;62.84577492739795
50;22.93262895679735;43.78213524105826;64.48609653595182
