N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;90.53691437327583;185.4052996658564;250.66617685759033
2;99.30993883967595;203.76786431483802;270.46364973759586
3;98.04280929622297;204.80689412216287;253.798604995156
4;105.10197348623295;202.35154799292098;253.43579588637556
5;75.5486416587093;194.07509845766572;253.51174673426112
6;92.97336266656;191.0119285293453;241.95919302132845
7;101.45348711858774;192.7959580078608;244.93307765912644
8;105.5945890782201;186.86255701721075;228.37122002755314
9;99.5536134028774;182.06602590401778;254.77041792864614
10;114.64536545352561;179.08267300805986;250.69241273873203
11;78.12515019118206;177.4468952606086;244.80198428963263
12;83.42692000166578;175.10061917782858;246.14058562242502
13;78.56680918563619;169.7947458847845;239.85885884351399
14;103.28535722138058;166.43698828509773;208.2783679846098
15;102.87150711323511;164.1039530064127;222.4786504528896
16;104.36063281817131;159.8208859487777;224.57727316425644
17;77.17681655215183;157.24911193839418;218.87097738219003
18;76.91693399659412;152.00692763285772;213.38726981128988
19;69.62258262173272;149.49731481349676;211.70855303960423
20;69.69552835428735;143.43964688528158;200.91820564362772
21;67.21302601890707;140.5229066789005;200.6030802357411
22;66.7657322300594;137.14176487544228;190.60735326743264
23;81.47617446849928;132.30157463302368;184.5725669293233
24;73.00202398553266;127.75197161668152;183.13428415063856
25;63.51128439813085;125.5936695058505;176.68125884445803
26;75.1396388027701;122.2635104001155;171.58222272619673
27;57.47743876600601;115.02565720908538;160.22701686515876
28;59.617025822427216;113.13187336631665;157.5877294759865
29;60.57545942598672;110.78655005362867;154.66113149284436
30;65.21160918629582;107.45995813849932;149.0210097482498
31;53.53495221038607;103.02892596411708;145.26739321391793
32;55.302555920997754;98.77376638705046;138.27654011743425
33;8.594464528881748;94.46358922188664;133.19900520037868
34;47.374962190399884;91.26197797395449;122.80446380605123
35;55.65992636562235;88.1263951117274;123.52568455492106
36;47.94772483780091;84.9455442850724;119.72626902759517
37;44.59834559835069;82.80202864510767;115.70226177257793
38;41.291623215862785;79.0391898582871;111.61371000158678
39;49.17652962952689;77.5818316167316;108.36869225849395
40;35.73448340173946;72.96664393353097;102.41355935794535
41;31.569991734148257;69.97084780778529;99.81227256227562
42;29.931860311128613;65.85920537527491;95.47274684700012
43;26.19675502756315;64.5940509498857;89.93367809149399
44;28.10590276985485;61.841615344095864;89.43749243820551
45;27.188327898851757;60.39454519694743;85.25499036441592
46;23.651267891025217;56.827806868639335;82.50173829583407
47;25.950478739718125;54.52212016248187;78.22987377812173
48;24.449283658478127;51.8517721333694;75.66550705630144
49;21.420515960134686;50.66600403264789;69.23115644893954
50;25.322047149490725;48.944602566409024;70.90857421868148
