N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;5.709844990984641;23.3177914660904;1.240660404608213;4.812271272539218
2;3.7523901352981204;6.505001920623344;0.8153359453465685;1.1486675261483363
3;3.349056403329707;5.494421076621476;0.7276978059774332;0.914958597375764
4;3.178125117633454;4.932654823495977;0.690557099284528;0.92852530300905
5;2.968460199413033;4.814908623624894;0.6450001773922162;0.9063607020333884
6;2.778816580665292;3.7661741098534707;0.6037935721098606;0.8298068893867198
7;2.621332534425781;3.773635087536407;0.5695747411546691;0.8314507779862041
8;2.552525894424996;3.772149865201912;0.5546241297181257;0.8311235366825664
9;2.4983707145176455;3.745191417612468;0.5428570524118997;0.8080955849390405
10;2.409938353097301;3.854961136849683;0.5236420773165243;0.8188268156879669
11;2.2998583408371784;3.8501353310725936;0.49972340478416005;0.8178017731421913
12;2.1780352455036196;3.790077413992646;0.4732531431595806;0.8050449563407608
13;2.0931007937110646;3.3887349498277355;0.45479820935796156;0.7361815750726837
14;1.994531564335069;3.2882860895806196;0.4333806507039824;0.7292081185001313
15;1.954306417321343;3.3014542282032355;0.4246403526313952;0.7295837015592868
16;1.8384984861744431;3.347127769507103;0.3994770925183085;0.7293641059589218
17;1.7585084558949005;3.265734403023832;0.38209650451847077;0.6915116785529771
18;1.6647796562803325;3.264593077122051;0.361730695877981;0.6915599862956509
19;1.5760924172887174;3.264872093582646;0.34246033985524293;0.6915592125439728
20;1.5214896980399022;3.253436733006987;0.3305960192190602;0.6710970663724979
21;1.4881489877701761;3.2555626171278083;0.32335160204863345;0.6715355794631189
22;1.4184136895632293;3.255579105037657;0.3081992076446683;0.6715389804783647
23;1.3867566670858118;2.524452011565351;0.30132062961364686;0.5681017526411738
24;1.3679213749207306;2.5235162491164287;0.2972280139234942;0.5678920949470908
25;1.3335484736228325;2.505082447319435;0.28975931771560387;0.5260602092160022
26;1.254145604684883;2.504940772818435;0.2725063107322004;0.5260079660842274
27;1.2065640238339916;2.5054113447088384;0.2621675741389001;0.5258755657311853
28;1.167347534132596;2.4553043255684477;0.2536464415937841;0.5261236201376244
29;1.1120168191180353;2.455181254646285;0.24162393881382868;0.526097248449835
30;1.0600397998593631;2.455179096714592;0.23033014189891937;0.5260967860473448
31;1.0530898417606858;2.421960515368957;0.22882002422666564;0.5185387247281861
32;1.0324317876103397;2.421940475334252;0.22433135074059846;0.5186053364628577
33;0.9901899945617286;2.2310528606413955;0.21515286688721655;0.47389476694009997
34;0.9774257983035393;2.2292990990689896;0.21237940580041154;0.4735222529372785
35;0.9449499020438409;2.229296853911441;0.20532289924774885;0.4735217760465548
36;0.8821827897318292;2.139058207110048;0.19168458313232645;0.45435431334347837
37;0.8565216248366442;2.1113596231153777;0.1861088115882923;0.44847089648756777
38;0.8288286723748886;2.0418522850503837;0.1800915642444072;0.4337069416059844
39;0.7989475795352688;2.0419207663437735;0.17359886806945454;0.43372148762017493
40;0.7505577698703281;1.7014023332406696;0.16308451594034948;0.37487257268535495
41;0.7360301378717999;1.701415886694356;0.15992788772684255;0.3748755589384904
42;0.7014336882651854;1.7013924451954057;0.15241061795249294;0.3870980090492492
43;0.6974315039863704;1.7012940694554548;0.15154100562947703;0.38705351342876904
44;0.6470480284781954;1.701134897629469;0.14059346095738234;0.3952588275196038
45;0.6386280143821994;1.695289677464591;0.1387639230081667;0.3951670872614536
46;0.617254901193947;1.7501924525438894;0.13411987832783964;0.40796476425970235
47;0.5788987082516553;1.7318049662927206;0.12578567487220288;0.40367869475752655
48;0.5432564782130113;1.368372810550162;0.11804117329454143;0.28762328580078456
49;0.5303424936278497;1.299286392686909;0.11523516553674273;0.27947631406835993
50;0.5065324866533725;1.2992873062940522;0.11006162178322218;0.27947651058512357
