N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;69.3826498766263;321.29627751967115;15.075769413116916;69.43613816267217
2;351.8467456375437;1298.939392527866;76.45081897879699;309.8562399191151
3;61.03015940894867;620.0460672109358;13.260903296877904;152.84944373162656
4;223.06215395114026;953.5382287102395;48.467932599003504;215.14889952027022
5;35.27683419174865;467.0159599020825;7.665106749961763;114.66403501817292
6;196.8882932463586;1338.0896133258932;42.780760239083804;302.73207858640785
7;19.782946339674304;728.459619468256;4.29852618571531;163.84041419564585
8;57.82531834979856;735.7989274030284;12.564541239514156;164.98375879716625
9;73.84395863420757;1356.071352809737;16.04514233602505;268.36726025392636
10;109.36944056197562;690.3730757614343;23.764276367158505;146.13073971115261
11;42.39655600867656;403.9039095442455;9.21211143468341;91.20593266865413
12;68.96831983636555;423.58669953133915;14.985741947186952;95.83310469912985
13;79.75023387676681;773.7179237597886;17.328483975549524;190.70894844873808
14;74.87379220400373;506.50857902107714;16.26890913449326;100.23832401248836
15;80.6895455556818;569.7511903017041;17.532581776708042;134.4772462719497
16;65.39639669730741;552.6172510704486;14.209618669947337;124.95906021031557
17;54.31527727947508;358.6455310347133;11.801863972202215;87.73495824773889
18;90.42251021016355;458.7910217443167;19.64740343742432;109.44256654630115
19;86.70659056614976;440.67525365001916;18.839991961926682;105.12113029050965
20;47.38406879075368;173.6091406667437;10.295820298228826;39.20284805408496
21;54.39418199882923;251.09658532280017;11.819008739038079;56.70036291582749
22;44.30287043340505;217.69636376161768;9.626323874640779;49.1582265639791
23;109.54429066696592;626.683472655462;23.80226857226133;146.18953787583803
24;45.191030661581586;285.2430517454656;9.819307262068328;67.32535318903876
25;89.24944082789507;597.6056656769478;19.392513727329483;145.83478267591428
26;96.75309147231597;551.102026164897;21.0229401678449;134.48641610011094
27;81.04512693409107;514.1813129060597;17.6098440732336;122.65567521490632
28;54.614506155938976;320.8437201962339;11.866881747558677;76.61049837753009
29;128.88881486486193;786.7999575252874;28.005532453541644;187.68764563591827
30;84.58636980308272;372.1188341796867;18.379301005531406;75.52992985862463
31;99.74998743403785;515.5413584816653;21.67411899359396;122.98010806419859
32;71.89651601409592;434.66712384819976;15.621993379646378;97.12546107601705
33;122.25928590760033;576.1577748434619;26.565039044094547;134.4031596860762
34;111.00132700056949;556.230667134515;24.118859879036133;124.28858095310508
35;118.35114567374161;831.3173489588658;25.715861027622896;198.30707222346024
36;63.432893429939526;451.31911842202834;13.782979985011314;107.11733390446412
37;112.33635803317559;957.0420222869355;24.408941333732862;228.29813629203187
38;79.97111952212836;566.2003659818843;17.37647898672393;128.03050481464868
39;84.68153254664584;739.6581370005063;18.399978387862994;176.44217311058097
40;87.78099088133177;570.9575940038952;19.073442420187742;135.5126622068213
41;102.97329000116012;560.9590588417972;22.374492449163206;136.89184546737903
42;93.69304369120665;420.7259116153044;20.35803943512343;83.2618873513483
43;90.51989085003295;493.2425173759875;19.668562734086887;120.36685637269845
44;61.36242274520427;337.8079525114681;13.333098945944762;75.74464120737893
45;119.77212977239071;768.793348250687;26.024618745136326;183.39224873317121
46;68.730865336386;393.28827722463325;14.934146781909151;78.48553952439546
47;105.27363033053531;591.810817517951;22.87432058255128;141.17384976884975
48;60.62633310917325;185.5152941312501;13.17315813019442;41.8582183438044
49;94.94278737902812;556.34589395108;20.62958927786653;132.71384930334403
50;70.211372590537;490.7305615923034;15.255837954237006;114.4751332227495
