N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;93.22514911298748;143.2978766003096;172.67901842498725
2;60.93427664794046;167.60363381685286;212.17822915320758
3;106.76668506888471;171.00285499692117;199.34399303944772
4;60.15680775705596;169.62803622559926;210.64482969273388
5;129.8909174708601;174.05504863783383;229.04858783537676
6;70.23039133542487;169.33706623094514;229.2773154110268
7;89.7699606736215;167.92863029919275;225.69811740040225
8;86.85445469831144;169.44473862973177;217.8985088376005
9;91.67673483692147;168.5828293159879;215.9962531767259
10;95.4904104383999;172.27666307567972;226.83250195186633
11;126.0900732591562;173.03941595898635;206.68865686099596
12;102.76283220658361;172.2462303395389;222.6592141433871
13;3.3123169790247253;167.63604377371814;224.89921308365905
14;73.69522127491767;171.6707345594595;205.33926128322437
15;64.54436024969313;169.48007661850377;207.33250517871411
16;87.86799441389498;165.6914058145115;203.52022292631324
17;105.11785435608364;168.003368219165;198.4141991755289
18;59.07149595532527;163.39599893520997;218.34382066930021
19;93.6789351843535;165.46442423040293;219.43536230344722
20;106.5361212151679;166.2558559878048;218.27520570358868
21;91.02217574852234;163.7796669277556;195.54524936304574
22;51.23373794937186;161.12245945933338;214.7670320539833
23;104.31266062646411;165.5678317046089;215.8555910629432
24;105.75896116152785;160.87730204744716;193.8670332948377
25;97.35473666782083;163.3622420697219;212.84324307549932
26;105.49340362040078;163.88947357657594;214.97561492482407
27;59.166274460332374;162.59765222761976;193.81772821285125
28;107.14690631053638;162.59177940274185;193.85002999025858
29;112.6869011680183;164.28744681687297;196.89918356170432
30;137.68696961506896;165.97586459074572;199.1495897535759
31;87.1273138314492;162.43841577646452;197.32465129857673
32;68.90702940458611;159.81230961092587;211.2903605724319
33;87.55146105476224;157.15830728550253;211.23807706294627
34;136.6104092579467;161.1926295568883;210.48755122497303
35;97.9813172346111;157.21538794736233;187.82621536923673
36;63.96520992349063;156.52627445236274;200.5734311295829
37;85.73706395462337;158.09877891474764;209.1568999955739
38;54.63264182293446;158.8125095116386;208.47856863902481
39;90.98684576826602;158.14330801088144;186.03673806653333
40;75.9770891913646;156.76572462275686;202.2960666354244
41;123.72174561682259;159.01502707589236;207.58785178168864
42;113.55480113533221;157.9807588369441;181.73021527870515
43;95.88269087864484;156.87477243441174;184.12124098460785
44;70.06900071741407;157.26763395870395;189.5247216098377
45;89.28944929920797;156.26070171011784;199.07401251603284
46;64.99605657784386;155.4298483762595;187.93223768429363
47;71.31779789054984;153.33876476095077;199.40370088096316
48;58.52392476210425;152.78469535718557;204.02109956021155
49;93.70426818314397;152.50559629795913;180.64253591824334
50;97.98445079545678;154.39279576652746;199.4928594122151
