N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;67.98046445624747;173.25904159341772;215.75350726394313
2;94.60175341762753;220.53175654540453;270.78340305187794
3;111.39045698065989;224.6240600606336;275.15435418890837
4;117.19466343004477;226.68598277248273;275.4400161247662
5;112.7260243163139;230.14652389408556;275.3555603449565
6;113.33183607985653;232.168567346378;277.3541490078373
7;136.71649870929053;227.58809162874817;270.04966299797445
8;85.55004156469883;225.32386207390505;272.873972584118
9;95.7102047894009;224.05527729871557;272.20035967871087
10;129.64912599020965;229.35215440987434;274.6679927429667
11;109.22479191622585;230.27253331513253;271.9023205820106
12;125.78360619015419;226.9381664922149;272.1727263830206
13;113.13913161639857;224.2955506535076;271.4872198103495
14;103.89401065578008;223.14391696660525;272.87723024986883
15;112.01186437639842;224.35160775145175;269.643376340538
16;138.9287566482718;223.9685083067499;262.5364166020338
17;133.39598307199086;226.35029237150985;266.06865205642214
18;63.91666435365424;219.94152877777438;267.9019470623729
19;99.60673585076097;218.88482781831016;263.6906523587853
20;94.75338987661748;218.430080583422;259.6028823215289
21;119.55528824346231;222.21707037121138;260.92489922166635
22;123.12903805190157;223.44590859960587;261.13913592601773
23;131.0361724211864;222.43286416137573;262.98530048548514
24;70.53604018412689;216.2201058427559;256.5173377841491
25;109.49841473124845;216.8975914065789;257.5055939444026
26;142.99462774895258;217.19309249807355;257.6825293154382
27;110.39145639501389;215.10677683327856;257.38050862363724
28;101.15443943850237;211.66093822076866;253.56088670151433
29;82.11929814672334;211.11493036736496;255.27183289690717
30;90.44101619886828;211.9149578406057;256.6394188904769
31;138.55617742883422;215.5110489906679;254.34149032857715
32;66.69807289610894;207.5999300260859;252.39592884182093
33;92.65013496896778;205.40770799889032;252.8009617371817
34;87.74192903959145;208.6069604079161;252.05354841809893
35;84.74535635206595;208.31840481414625;252.08248262293552
36;100.08601706423316;210.18391479845866;252.28205780363214
37;109.29532753519965;211.80837936866618;251.74267171732723
38;97.43582952528836;210.8328132314652;253.3487506691854
39;87.68292872075753;207.7196663011464;250.296313386561
40;113.6694558867906;209.01298764517966;249.44068064338623
41;3.1161243186144363;203.37258209098403;248.310785815377
42;126.99804182795145;211.38641014431863;247.34607166209403
43;121.74228908227042;206.2803104640656;248.9222078802058
44;109.08729689985707;204.37668952203208;242.93631734975878
45;56.85262205304979;201.9103080646176;241.92659286626696
46;116.49731985445509;205.30989469336453;243.47384128085977
47;85.93322959013912;203.61185191380247;246.55913592684408
48;68.65744027197275;198.72222531394075;243.79655954422688
49;79.7262194021206;200.86902561626735;244.78896363993962
50;107.40584069752259;203.3581443001521;246.2912910971432
